CUBE_ID,TABLE_ID
EBA_FINREP_EBA_F_09.01.1_FINREP_2017-A,EBA_FINREP_EBA_F_09.01.1_FINREP_2017-A
EBA_FINREP_EBA_F_45.02_FINREP_2017-A,EBA_FINREP_EBA_F_45.02_FINREP_2017-A
EBA_FINREP_EBA_F_11.02_FINREP_2017-A,EBA_FINREP_EBA_F_11.02_FINREP_2017-A
EBA_FINREP_EBA_F_04.02.2_FINREP_2017-A,EBA_FINREP_EBA_F_04.02.2_FINREP_2017-A
EBA_FINREP_EBA_F_02.00_FINREP_2017-A,EBA_FINREP_EBA_F_02.00_FINREP_2017-A
EBA_FINREP_EBA_F_46.00_FINREP_2017-A,EBA_FINREP_EBA_F_46.00_FINREP_2017-A
EBA_FINREP_EBA_F_10.00_FINREP_2017-A,EBA_FINREP_EBA_F_10.00_FINREP_2017-A
EBA_FINREP_EBA_F_01.03_FINREP_2017-A,EBA_FINREP_EBA_F_01.03_FINREP_2017-A
EBA_FINREP_EBA_F_20.01_FINREP_2.8,EBA_FINREP_EBA_F_20.01_FINREP_2.8
EBA_FINREP_EBA_F_20.04_FINREP_2.8,EBA_FINREP_EBA_F_20.04_FINREP_2.8
EBA_FINREP_EBA_F_08.02_FINREP_2.8,EBA_FINREP_EBA_F_08.02_FINREP_2.8
EBA_FINREP_EBA_F_20.02_FINREP_2.8,EBA_FINREP_EBA_F_20.02_FINREP_2.8
EBA_FINREP_EBA_F_05.01_FINREP_2.8,EBA_FINREP_EBA_F_05.01_FINREP_2.8
EBA_FINREP_EBA_F_07.01_FINREP_2.8,EBA_FINREP_EBA_F_07.01_FINREP_2.8
EBA_FINREP_EBA_F_07.02_FINREP_2.8,EBA_FINREP_EBA_F_07.02_FINREP_2.8
EBA_FINREP_EBA_F_20.03_FINREP_2.8,EBA_FINREP_EBA_F_20.03_FINREP_2.8
EBA_FINREP_EBA_F_30.02_FINREP_2.8,EBA_FINREP_EBA_F_30.02_FINREP_2.8
EBA_FINREP_EBA_F_03.00_FINREP_2.8,EBA_FINREP_EBA_F_03.00_FINREP_2.8
EBA_FINREP_EBA_F_12.01.a_FINREP_2.8,EBA_FINREP_EBA_F_12.01.a_FINREP_2.8
EBA_FINREP_EBA_F_12.01.b_FINREP_2.8,EBA_FINREP_EBA_F_12.01.b_FINREP_2.8
EBA_FINREP_EBA_F_13.02.1.a_FINREP_2.9,EBA_FINREP_EBA_F_13.02.1.a_FINREP_2.9
EBA_FINREP_EBA_F_13.02.1.b_FINREP_2.9,EBA_FINREP_EBA_F_13.02.1.b_FINREP_2.9
EBA_FINREP_EBA_F_13.03.1.a_FINREP_2.9,EBA_FINREP_EBA_F_13.03.1.a_FINREP_2.9
EBA_FINREP_EBA_F_16.08_FINREP_2.9,EBA_FINREP_EBA_F_16.08_FINREP_2.9
EBA_FINREP_EBA_F_18.00.d_FINREP_2.9,EBA_FINREP_EBA_F_18.00.d_FINREP_2.9
EBA_FINREP_EBA_F_18.00.e_FINREP_2.9,EBA_FINREP_EBA_F_18.00.e_FINREP_2.9
EBA_FINREP_EBA_F_18.01_FINREP_2.9,EBA_FINREP_EBA_F_18.01_FINREP_2.9
